speaker_id,start_time,end_time,transcribed_content,named_entities,sentiment_score,tone_intensity
SPEAKER_02,9.5s,11.2s," OK, so the drive you're going to complete and use the...",[],0.0,0.010894160717725754
SPEAKER_02,11.5s,12.1s, automation.,[],0.0,0.01202043704688549
SPEAKER_02,12.6s,20.0s, object detection systems. That means you will not need to operate the vehicle.  So keep your hands off the steering wheel and feed off the pedals once we get that drive.,[],0.0,0.008123097941279411
SPEAKER_04,19.9s,20.5s, Okay.,[],0.2263,0.023896601051092148
SPEAKER_02,20.7s,25.5s," So when you see that sim driver indicator highlighted green, make sure you don't hit the brake at any point during the drive.",[],0.3182,0.01121792383491993
SPEAKER_02,26.4s,33.4s," For this drive, the CarCab Lookout will have the ODS for getting visual feedback for targets that are in the environment, so the CarCab Lookout should pay attention.","[{'entity': 'ORG', 'text': 'ODS'}]",-0.1027,0.011823794804513454
SPEAKER_02,33.6s,34.9s, the screen,[],0.0,0.010578680783510208
SPEAKER_02,35.3s,36.4s, went out during the mission.,[],0.0,0.007958139292895794
SPEAKER_02,37.0s,39.0s, Remember to tap the targets on that ODS.,"[{'entity': 'ORG', 'text': 'ODS'}]",0.0,0.010109880939126015
SPEAKER_02,39.1s,41.1s, as well as completing those workstation tasks.,[],0.2732,0.008809160441160202
SPEAKER_02,45.9s,47.9s," Alright, so all drivers, put your foot on the brake.",[],0.25,0.012343930080533028
SPEAKER_02,49.5s,51.9s, You now remove your foot from the brake until I instruct you to...,[],0.0,0.01461726799607277
SPEAKER_02,54.1s,54.7s, you may start.,[],0.0,0.01615031622350216
SPEAKER_02,57.5s,59.8s," All drivers, with your foot still on the brake.",[],0.0,0.04704761505126953
SPEAKER_04,63.2s,64.6s, You drove through me!,[],0.0,0.0990273505449295
SPEAKER_02,75.1s,75.6s, I neither.,[],0.0,0.008375789038836956
SPEAKER_02,77.9s,80.2s," hard-capped driver, and only the car-capped driver.",[],0.0,0.015647834166884422
SPEAKER_04,80.5s,81.3s, Mm-hmm. Yes.,[],0.4019,0.03534696623682976
SPEAKER_02,81.1s,81.7s, yea right,[],0.0,0.014628763310611248
SPEAKER_02,82.8s,84.2s, Make sure everyone is in drive.,[],0.3182,0.013548824936151505
SPEAKER_04,86.2s,87.2s, I am now in drive.,[],0.0,0.06087446212768555
SPEAKER_02,87.3s,90.0s," Okay, car cab driver and only the car cab driver.",[],0.2263,0.014299766160547733
SPEAKER_02,90.4s,91.6s, you begin moving forward.,[],0.0,0.0103167574852705
SPEAKER_04,95.1s,96.5s, as I drove through.,[],0.0,0.05626413971185684
SPEAKER_02,95.8s,98.4s," desktop driver, she may remove her phone.",[],0.0,0.025127729400992393
SPEAKER_04,98.2s,98.7s,,[],0.0,0.019432377070188522
SPEAKER_04,99.7s,101.1s, We now have sim driver on.,[],0.0,0.0690961480140686
SPEAKER_05,101.8s,105.3s, We're looking at the person on the scooter.,[],0.0,0.020667338743805885
SPEAKER_05,108.6s,110.0s, What color scooter?  Red.,"[{'entity': 'ORG', 'text': 'Red'}]",0.0,0.024752642959356308
SPEAKER_06,110.0s,110.5s, I,[],0.0,0.022745901718735695
SPEAKER_06,111.1s,111.9s, Crossbody pack.,[],0.0,0.013254259712994099
SPEAKER_01,113.0s,113.9s, Scooter?,"[{'entity': 'ORG', 'text': 'Scooter'}]",0.0,0.027328474447131157
SPEAKER_01,114.1s,115.2s," Yeah, there's a press button.",[],0.296,0.025223976001143456
